"","date","series_id","value","realtime_start","realtime_end"
"1",1934-01-01,"TB3MS",0.72,2023-12-31,2023-12-31
"2",1934-02-01,"TB3MS",0.62,2023-12-31,2023-12-31
"3",1934-03-01,"TB3MS",0.24,2023-12-31,2023-12-31
"4",1934-04-01,"TB3MS",0.15,2023-12-31,2023-12-31
"5",1934-05-01,"TB3MS",0.16,2023-12-31,2023-12-31
"6",1934-06-01,"TB3MS",0.15,2023-12-31,2023-12-31
"7",1934-07-01,"TB3MS",0.15,2023-12-31,2023-12-31
"8",1934-08-01,"TB3MS",0.19,2023-12-31,2023-12-31
"9",1934-09-01,"TB3MS",0.21,2023-12-31,2023-12-31
"10",1934-10-01,"TB3MS",0.27,2023-12-31,2023-12-31
"11",1934-11-01,"TB3MS",0.25,2023-12-31,2023-12-31
"12",1934-12-01,"TB3MS",0.23,2023-12-31,2023-12-31
"13",1935-01-01,"TB3MS",0.2,2023-12-31,2023-12-31
"14",1935-02-01,"TB3MS",0.19,2023-12-31,2023-12-31
"15",1935-03-01,"TB3MS",0.15,2023-12-31,2023-12-31
"16",1935-04-01,"TB3MS",0.15,2023-12-31,2023-12-31
"17",1935-05-01,"TB3MS",0.15,2023-12-31,2023-12-31
"18",1935-06-01,"TB3MS",0.15,2023-12-31,2023-12-31
"19",1935-07-01,"TB3MS",0.15,2023-12-31,2023-12-31
"20",1935-08-01,"TB3MS",0.16,2023-12-31,2023-12-31
"21",1935-09-01,"TB3MS",0.2,2023-12-31,2023-12-31
"22",1935-10-01,"TB3MS",0.2,2023-12-31,2023-12-31
"23",1935-11-01,"TB3MS",0.16,2023-12-31,2023-12-31
"24",1935-12-01,"TB3MS",0.15,2023-12-31,2023-12-31
"25",1936-01-01,"TB3MS",0.2,2023-12-31,2023-12-31
"26",1936-02-01,"TB3MS",0.2,2023-12-31,2023-12-31
"27",1936-03-01,"TB3MS",0.2,2023-12-31,2023-12-31
"28",1936-04-01,"TB3MS",0.2,2023-12-31,2023-12-31
"29",1936-05-01,"TB3MS",0.2,2023-12-31,2023-12-31
"30",1936-06-01,"TB3MS",0.2,2023-12-31,2023-12-31
"31",1936-07-01,"TB3MS",0.15,2023-12-31,2023-12-31
"32",1936-08-01,"TB3MS",0.2,2023-12-31,2023-12-31
"33",1936-09-01,"TB3MS",0.16,2023-12-31,2023-12-31
"34",1936-10-01,"TB3MS",0.13,2023-12-31,2023-12-31
"35",1936-11-01,"TB3MS",0.11,2023-12-31,2023-12-31
"36",1936-12-01,"TB3MS",0.12,2023-12-31,2023-12-31
"37",1937-01-01,"TB3MS",0.17,2023-12-31,2023-12-31
"38",1937-02-01,"TB3MS",0.15,2023-12-31,2023-12-31
"39",1937-03-01,"TB3MS",0.38,2023-12-31,2023-12-31
"40",1937-04-01,"TB3MS",0.56,2023-12-31,2023-12-31
"41",1937-05-01,"TB3MS",0.41,2023-12-31,2023-12-31
"42",1937-06-01,"TB3MS",0.36,2023-12-31,2023-12-31
"43",1937-07-01,"TB3MS",0.28,2023-12-31,2023-12-31
"44",1937-08-01,"TB3MS",0.29,2023-12-31,2023-12-31
"45",1937-09-01,"TB3MS",0.31,2023-12-31,2023-12-31
"46",1937-10-01,"TB3MS",0.2,2023-12-31,2023-12-31
"47",1937-11-01,"TB3MS",0.09,2023-12-31,2023-12-31
"48",1937-12-01,"TB3MS",0.11,2023-12-31,2023-12-31
"49",1938-01-01,"TB3MS",0.1,2023-12-31,2023-12-31
"50",1938-02-01,"TB3MS",0.08,2023-12-31,2023-12-31
"51",1938-03-01,"TB3MS",0.08,2023-12-31,2023-12-31
"52",1938-04-01,"TB3MS",0.09,2023-12-31,2023-12-31
"53",1938-05-01,"TB3MS",0.05,2023-12-31,2023-12-31
"54",1938-06-01,"TB3MS",0.05,2023-12-31,2023-12-31
"55",1938-07-01,"TB3MS",0.07,2023-12-31,2023-12-31
"56",1938-08-01,"TB3MS",0.06,2023-12-31,2023-12-31
"57",1938-09-01,"TB3MS",0.08,2023-12-31,2023-12-31
"58",1938-10-01,"TB3MS",0.05,2023-12-31,2023-12-31
"59",1938-11-01,"TB3MS",0.04,2023-12-31,2023-12-31
"60",1938-12-01,"TB3MS",0.03,2023-12-31,2023-12-31
"61",1939-01-01,"TB3MS",0.03,2023-12-31,2023-12-31
"62",1939-02-01,"TB3MS",0.03,2023-12-31,2023-12-31
"63",1939-03-01,"TB3MS",0.03,2023-12-31,2023-12-31
"64",1939-04-01,"TB3MS",0.03,2023-12-31,2023-12-31
"65",1939-05-01,"TB3MS",0.03,2023-12-31,2023-12-31
"66",1939-06-01,"TB3MS",0.03,2023-12-31,2023-12-31
"67",1939-07-01,"TB3MS",0.04,2023-12-31,2023-12-31
"68",1939-08-01,"TB3MS",0.05,2023-12-31,2023-12-31
"69",1939-09-01,"TB3MS",0.14,2023-12-31,2023-12-31
"70",1939-10-01,"TB3MS",0.05,2023-12-31,2023-12-31
"71",1939-11-01,"TB3MS",0.05,2023-12-31,2023-12-31
"72",1939-12-01,"TB3MS",0.04,2023-12-31,2023-12-31
"73",1940-01-01,"TB3MS",0.01,2023-12-31,2023-12-31
"74",1940-02-01,"TB3MS",0.02,2023-12-31,2023-12-31
"75",1940-03-01,"TB3MS",0.02,2023-12-31,2023-12-31
"76",1940-04-01,"TB3MS",0.02,2023-12-31,2023-12-31
"77",1940-05-01,"TB3MS",0.06,2023-12-31,2023-12-31
"78",1940-06-01,"TB3MS",0.1,2023-12-31,2023-12-31
"79",1940-07-01,"TB3MS",0.05,2023-12-31,2023-12-31
"80",1940-08-01,"TB3MS",0.04,2023-12-31,2023-12-31
"81",1940-09-01,"TB3MS",0.05,2023-12-31,2023-12-31
"82",1940-10-01,"TB3MS",0.02,2023-12-31,2023-12-31
"83",1940-11-01,"TB3MS",0.02,2023-12-31,2023-12-31
"84",1940-12-01,"TB3MS",0.02,2023-12-31,2023-12-31
"85",1941-01-01,"TB3MS",0.02,2023-12-31,2023-12-31
"86",1941-02-01,"TB3MS",0.04,2023-12-31,2023-12-31
"87",1941-03-01,"TB3MS",0.11,2023-12-31,2023-12-31
"88",1941-04-01,"TB3MS",0.1,2023-12-31,2023-12-31
"89",1941-05-01,"TB3MS",0.11,2023-12-31,2023-12-31
"90",1941-06-01,"TB3MS",0.12,2023-12-31,2023-12-31
"91",1941-07-01,"TB3MS",0.12,2023-12-31,2023-12-31
"92",1941-08-01,"TB3MS",0.13,2023-12-31,2023-12-31
"93",1941-09-01,"TB3MS",0.1,2023-12-31,2023-12-31
"94",1941-10-01,"TB3MS",0.09,2023-12-31,2023-12-31
"95",1941-11-01,"TB3MS",0.28,2023-12-31,2023-12-31
"96",1941-12-01,"TB3MS",0.33,2023-12-31,2023-12-31
"97",1942-01-01,"TB3MS",0.27,2023-12-31,2023-12-31
"98",1942-02-01,"TB3MS",0.25,2023-12-31,2023-12-31
"99",1942-03-01,"TB3MS",0.25,2023-12-31,2023-12-31
"100",1942-04-01,"TB3MS",0.32,2023-12-31,2023-12-31
"101",1942-05-01,"TB3MS",0.37,2023-12-31,2023-12-31
"102",1942-06-01,"TB3MS",0.37,2023-12-31,2023-12-31
"103",1942-07-01,"TB3MS",0.38,2023-12-31,2023-12-31
"104",1942-08-01,"TB3MS",0.38,2023-12-31,2023-12-31
"105",1942-09-01,"TB3MS",0.38,2023-12-31,2023-12-31
"106",1942-10-01,"TB3MS",0.38,2023-12-31,2023-12-31
"107",1942-11-01,"TB3MS",0.38,2023-12-31,2023-12-31
"108",1942-12-01,"TB3MS",0.38,2023-12-31,2023-12-31
"109",1943-01-01,"TB3MS",0.38,2023-12-31,2023-12-31
"110",1943-02-01,"TB3MS",0.38,2023-12-31,2023-12-31
"111",1943-03-01,"TB3MS",0.38,2023-12-31,2023-12-31
"112",1943-04-01,"TB3MS",0.38,2023-12-31,2023-12-31
"113",1943-05-01,"TB3MS",0.38,2023-12-31,2023-12-31
"114",1943-06-01,"TB3MS",0.38,2023-12-31,2023-12-31
"115",1943-07-01,"TB3MS",0.38,2023-12-31,2023-12-31
"116",1943-08-01,"TB3MS",0.38,2023-12-31,2023-12-31
"117",1943-09-01,"TB3MS",0.38,2023-12-31,2023-12-31
"118",1943-10-01,"TB3MS",0.38,2023-12-31,2023-12-31
"119",1943-11-01,"TB3MS",0.38,2023-12-31,2023-12-31
"120",1943-12-01,"TB3MS",0.38,2023-12-31,2023-12-31
"121",1944-01-01,"TB3MS",0.38,2023-12-31,2023-12-31
"122",1944-02-01,"TB3MS",0.38,2023-12-31,2023-12-31
"123",1944-03-01,"TB3MS",0.38,2023-12-31,2023-12-31
"124",1944-04-01,"TB3MS",0.38,2023-12-31,2023-12-31
"125",1944-05-01,"TB3MS",0.38,2023-12-31,2023-12-31
"126",1944-06-01,"TB3MS",0.38,2023-12-31,2023-12-31
"127",1944-07-01,"TB3MS",0.38,2023-12-31,2023-12-31
"128",1944-08-01,"TB3MS",0.38,2023-12-31,2023-12-31
"129",1944-09-01,"TB3MS",0.38,2023-12-31,2023-12-31
"130",1944-10-01,"TB3MS",0.38,2023-12-31,2023-12-31
"131",1944-11-01,"TB3MS",0.38,2023-12-31,2023-12-31
"132",1944-12-01,"TB3MS",0.38,2023-12-31,2023-12-31
"133",1945-01-01,"TB3MS",0.38,2023-12-31,2023-12-31
"134",1945-02-01,"TB3MS",0.38,2023-12-31,2023-12-31
"135",1945-03-01,"TB3MS",0.38,2023-12-31,2023-12-31
"136",1945-04-01,"TB3MS",0.38,2023-12-31,2023-12-31
"137",1945-05-01,"TB3MS",0.38,2023-12-31,2023-12-31
"138",1945-06-01,"TB3MS",0.38,2023-12-31,2023-12-31
"139",1945-07-01,"TB3MS",0.38,2023-12-31,2023-12-31
"140",1945-08-01,"TB3MS",0.38,2023-12-31,2023-12-31
"141",1945-09-01,"TB3MS",0.38,2023-12-31,2023-12-31
"142",1945-10-01,"TB3MS",0.38,2023-12-31,2023-12-31
"143",1945-11-01,"TB3MS",0.38,2023-12-31,2023-12-31
"144",1945-12-01,"TB3MS",0.38,2023-12-31,2023-12-31
"145",1946-01-01,"TB3MS",0.38,2023-12-31,2023-12-31
"146",1946-02-01,"TB3MS",0.38,2023-12-31,2023-12-31
"147",1946-03-01,"TB3MS",0.38,2023-12-31,2023-12-31
"148",1946-04-01,"TB3MS",0.38,2023-12-31,2023-12-31
"149",1946-05-01,"TB3MS",0.38,2023-12-31,2023-12-31
"150",1946-06-01,"TB3MS",0.38,2023-12-31,2023-12-31
"151",1946-07-01,"TB3MS",0.38,2023-12-31,2023-12-31
"152",1946-08-01,"TB3MS",0.38,2023-12-31,2023-12-31
"153",1946-09-01,"TB3MS",0.38,2023-12-31,2023-12-31
"154",1946-10-01,"TB3MS",0.38,2023-12-31,2023-12-31
"155",1946-11-01,"TB3MS",0.38,2023-12-31,2023-12-31
"156",1946-12-01,"TB3MS",0.38,2023-12-31,2023-12-31
"157",1947-01-01,"TB3MS",0.38,2023-12-31,2023-12-31
"158",1947-02-01,"TB3MS",0.38,2023-12-31,2023-12-31
"159",1947-03-01,"TB3MS",0.38,2023-12-31,2023-12-31
"160",1947-04-01,"TB3MS",0.38,2023-12-31,2023-12-31
"161",1947-05-01,"TB3MS",0.38,2023-12-31,2023-12-31
"162",1947-06-01,"TB3MS",0.38,2023-12-31,2023-12-31
"163",1947-07-01,"TB3MS",0.66,2023-12-31,2023-12-31
"164",1947-08-01,"TB3MS",0.75,2023-12-31,2023-12-31
"165",1947-09-01,"TB3MS",0.8,2023-12-31,2023-12-31
"166",1947-10-01,"TB3MS",0.85,2023-12-31,2023-12-31
"167",1947-11-01,"TB3MS",0.92,2023-12-31,2023-12-31
"168",1947-12-01,"TB3MS",0.95,2023-12-31,2023-12-31
"169",1948-01-01,"TB3MS",0.97,2023-12-31,2023-12-31
"170",1948-02-01,"TB3MS",1,2023-12-31,2023-12-31
"171",1948-03-01,"TB3MS",1,2023-12-31,2023-12-31
"172",1948-04-01,"TB3MS",1,2023-12-31,2023-12-31
"173",1948-05-01,"TB3MS",1,2023-12-31,2023-12-31
"174",1948-06-01,"TB3MS",1,2023-12-31,2023-12-31
"175",1948-07-01,"TB3MS",1,2023-12-31,2023-12-31
"176",1948-08-01,"TB3MS",1.06,2023-12-31,2023-12-31
"177",1948-09-01,"TB3MS",1.09,2023-12-31,2023-12-31
"178",1948-10-01,"TB3MS",1.12,2023-12-31,2023-12-31
"179",1948-11-01,"TB3MS",1.14,2023-12-31,2023-12-31
"180",1948-12-01,"TB3MS",1.16,2023-12-31,2023-12-31
"181",1949-01-01,"TB3MS",1.17,2023-12-31,2023-12-31
"182",1949-02-01,"TB3MS",1.17,2023-12-31,2023-12-31
"183",1949-03-01,"TB3MS",1.17,2023-12-31,2023-12-31
"184",1949-04-01,"TB3MS",1.17,2023-12-31,2023-12-31
"185",1949-05-01,"TB3MS",1.17,2023-12-31,2023-12-31
"186",1949-06-01,"TB3MS",1.17,2023-12-31,2023-12-31
"187",1949-07-01,"TB3MS",1.02,2023-12-31,2023-12-31
"188",1949-08-01,"TB3MS",1.04,2023-12-31,2023-12-31
"189",1949-09-01,"TB3MS",1.07,2023-12-31,2023-12-31
"190",1949-10-01,"TB3MS",1.05,2023-12-31,2023-12-31
"191",1949-11-01,"TB3MS",1.08,2023-12-31,2023-12-31
"192",1949-12-01,"TB3MS",1.1,2023-12-31,2023-12-31
"193",1950-01-01,"TB3MS",1.07,2023-12-31,2023-12-31
"194",1950-02-01,"TB3MS",1.12,2023-12-31,2023-12-31
"195",1950-03-01,"TB3MS",1.12,2023-12-31,2023-12-31
"196",1950-04-01,"TB3MS",1.15,2023-12-31,2023-12-31
"197",1950-05-01,"TB3MS",1.16,2023-12-31,2023-12-31
"198",1950-06-01,"TB3MS",1.15,2023-12-31,2023-12-31
"199",1950-07-01,"TB3MS",1.16,2023-12-31,2023-12-31
"200",1950-08-01,"TB3MS",1.2,2023-12-31,2023-12-31
"201",1950-09-01,"TB3MS",1.3,2023-12-31,2023-12-31
"202",1950-10-01,"TB3MS",1.31,2023-12-31,2023-12-31
"203",1950-11-01,"TB3MS",1.36,2023-12-31,2023-12-31
"204",1950-12-01,"TB3MS",1.34,2023-12-31,2023-12-31
"205",1951-01-01,"TB3MS",1.34,2023-12-31,2023-12-31
"206",1951-02-01,"TB3MS",1.36,2023-12-31,2023-12-31
"207",1951-03-01,"TB3MS",1.4,2023-12-31,2023-12-31
"208",1951-04-01,"TB3MS",1.47,2023-12-31,2023-12-31
"209",1951-05-01,"TB3MS",1.55,2023-12-31,2023-12-31
"210",1951-06-01,"TB3MS",1.45,2023-12-31,2023-12-31
"211",1951-07-01,"TB3MS",1.56,2023-12-31,2023-12-31
"212",1951-08-01,"TB3MS",1.62,2023-12-31,2023-12-31
"213",1951-09-01,"TB3MS",1.63,2023-12-31,2023-12-31
"214",1951-10-01,"TB3MS",1.54,2023-12-31,2023-12-31
"215",1951-11-01,"TB3MS",1.56,2023-12-31,2023-12-31
"216",1951-12-01,"TB3MS",1.73,2023-12-31,2023-12-31
"217",1952-01-01,"TB3MS",1.57,2023-12-31,2023-12-31
"218",1952-02-01,"TB3MS",1.54,2023-12-31,2023-12-31
"219",1952-03-01,"TB3MS",1.59,2023-12-31,2023-12-31
"220",1952-04-01,"TB3MS",1.57,2023-12-31,2023-12-31
"221",1952-05-01,"TB3MS",1.67,2023-12-31,2023-12-31
"222",1952-06-01,"TB3MS",1.7,2023-12-31,2023-12-31
"223",1952-07-01,"TB3MS",1.81,2023-12-31,2023-12-31
"224",1952-08-01,"TB3MS",1.83,2023-12-31,2023-12-31
"225",1952-09-01,"TB3MS",1.71,2023-12-31,2023-12-31
"226",1952-10-01,"TB3MS",1.74,2023-12-31,2023-12-31
