"","Journal","Rank","Source","IF"
"1","1913: a journal of forms","C","ERA",NA
"2","3CMedia","B","ERA",NA
"3","4OR: A Quarterly Journal of Operations Research","C","ERA",NA
"4","A St A: Advances in Statistical Analysis","C","ERA",NA
"5","AA files: annals of the Architectural Association School of Architecture","A","ERA",NA
"6","AACE International Transactions","B","ERA",NA
"7","AACE Journal","B","ERA",NA
"8","AACN Advanced Critical Care","C","ERA",NA
"9","AANA Journal","C","ERA",NA
"10","AAOHN Journal","C","ERA",NA
"11","AAPG Bulletin","A","ERA",2.952
"12","AAPS Journal","C","ERA",3.737
"13","AAPS PharmSciTech","B","ERA",2.401
"14","Aarboeger for Nordisk Oldkyndighed og Historie","C","ERA",NA
"15","AASA Journal of Scholarship and Practice","C","ERA",NA
"16","ABA Journal: the lawyer's magazine","B","ERA",NA
"17","Abacus: a Journal of Accounting and Business Studies","A","ERA",NA
"18","Abdominal Imaging","C","ERA",NA
"19","Abhandlungen fuer die Kunde des Morgenlandes","C","ERA",NA
"20","Aboriginal and Islander Health Worker Journal: a national resource journal for Aboriginal and
Islander community education workers","C","ERA",NA
"21","Aboriginal and Torres Strait Islander Studies Unit Research Report Series","B","ERA",NA
"22","Aboriginal History","A","ERA",NA
"23","About Performance","A","ERA",NA
"24","Abstract and Applied Analysis","B","ERA",NA
"25","Academe","C","ERA",NA
"26","Academia de Stiinte a Republicii Moldova. Buletinul. Matematica","C","ERA",NA
"27","Academia Economic Papers","C","ERA",NA
"28","Academia Paedagogica Nyiregyhaziensis. Acta Mathematica","C","ERA",NA
"29","Academiae Scientiarum Hungarica. Acta Zoologica","C","ERA",NA
"30","Academic Emergency Medicine","B","ERA",3.064
"31","Academic Exchange Quarterly","C","ERA",NA
"32","Academic Journal of Second Military Medical University","C","ERA",NA
"33","Academic Journal of Xi'an Jiaotong University","C","ERA",NA
"34","Academic Leadership","C","ERA",NA
"35","Academic Medicine","A+","ERA",5.354
"36","Academic Monthly","B","ERA",NA
"37","Academic Pediatrics","B","ERA",2.81
"38","Academic Psychiatry","C","ERA",2.148
"39","Academic Radiology","B","ERA",2.488
"40","Academic.Writing: interdisciplinary perspectives on communication across the curriculum","B","ERA",NA
"41","Academie des Sciences. Comptes Rendus. Biologies","C","ERA",NA
"42","Academie des Sciences. Comptes Rendus. Chimie","B","ERA",NA
"43","Academie des Sciences. Comptes Rendus. Geoscience","C","ERA",NA
"44","Academie des Sciences. Comptes Rendus. Mathematique","B","ERA",NA
"45","Academie des Sciences. Comptes Rendus. Palevol","C","ERA",NA
"46","Academie Polonaise des Sciences. Centre d'Archeologie Mediterraneenne. Etudes et Travaux","B","ERA",NA
"47","Academie Royale des Sciences, des Lettres et des Beaux-Arts de Belgique. Classe des Sciences.
BAucalldeetmie Serbe des Sciences et des Arts. Classe des Sciences Mathematiques et Naturelles.","C","ERA",NA
"48","Bulletin S","C","ERA",NA
"49","Academy of Accounting and Financial Studies Journal","C","ERA",NA
"50","Academy of Entrepreneurship Journal","C","ERA",NA
"51","Academy of Information and Management Sciences Journal","C","ERA",NA
"52","Academy of Management Journal","A+","ERA",7.571
"53","Academy of Management Learning and Education","A+","ERA",4.058
"54","Academy of Management Review","A+","ERA",8.413
"55","Academy of Marketing Science Review","C","ERA",NA
"56","Academy of Marketing Studies Journal","C","ERA",NA
"57","Academy of Taiwan Business Management Revie","B","ERA",NA
"58","Acadiensis: journal of the history of the Atlantic region","A+","ERA",NA
"59","ACC Cardiosource Review Journal","C","ERA",NA
"60","Accademia Nazionale dei Lincei. Atti. Matematica e Applicazioni. Rendiconti","C","ERA",NA
"61","Accademia Nazionale dei Lincei. Atti. Notizie degli Scavi di Antichita","A","ERA",NA
"62","Accademia Nazionale dei Lincei. Atti. Scienze Fisiche e Naturali. Rendiconti","C","ERA",NA
"63","Accademia Peloritana dei Pericolanti. Classe di Scienze Fisiche Matematiche e Naturali. Atti","C","ERA",NA
"64","Accademia: Revue de la Société Marsile Ficin","C","ERA",NA
"65","Access","B","ERA",NA
"66","Access: critical perspectives on communication, cultural and policy studies","A","ERA",NA
"67","Accident Analysis and Prevention","A+","ERA",3.655
"68","Accordia Research Papers","B","ERA",NA
"69","Accountability in research","C","ERA",NA
"70","Accountancy Business and the Public Interest","C","ERA",NA
"71","Accounting and Business Research","A","ERA",1.833
"72","Accounting and Finance","B","ERA",2.217
"73","Accounting and the Public Interest","B","ERA",NA
"74","Accounting Auditing and Accountability Journal","A+","ERA",3.497
"75","Accounting Commerce and Finance: The Islamic Perspective Journal","C","ERA",NA
"76","Accounting Education","B","ERA",NA
"77","Accounting Educators' Journal","C","ERA",NA
"78","Accounting Forum","B","ERA",1.824
"79","Accounting Historians Journal","B","ERA",NA
"80","Accounting History","A","ERA",NA
"81","Accounting Horizons","A","ERA",1.576
"82","Accounting in Europe","B","ERA",NA
"83","Accounting Perspectives","C","ERA",NA
"84","Accounting Research Journal","B","ERA",NA
"85","Accounting Review","A+","ERA",3.993
"86","Accounting, Accountability and Performance","C","ERA",NA
"87","Accounting, Business and Financial History","A","ERA",NA
"88","Accounting, Organizations and Society","A+","ERA",NA
"89","Accounts of Chemical Research","A+","ERA",20.832
"90","Accreditation and Quality Assurance","C","ERA",0.662
"91","ACGC Chemical Research Communications","C","ERA",NA
"92","ACH: The Journal of the History of Culture in Australia","C","ERA",NA
"93","ACI Materials Journal","A","ERA",1.483
"94","ACI Structural Journal","A+","ERA",1.566
"95","ACIMED","C","ERA",NA
"96","ACM Computers in Entertainment","B","ERA",NA
"97","ACM Computing Surveys","A+","ERA",7.99
"98","ACM Journal of Computer Documentation","C","ERA",NA
"99","ACM Journal on Emerging Technologies in Computing Systems","C","ERA",1.652
"100","ACM Transactions on Algorithms","A","ERA",0.758
"101","ACM Transactions on Applied Perception","B","ERA",1.378
"102","ACM Transactions on Architecture and Code Optimization","A","ERA",1.309
"103","ACM Transactions on Asian Language Information Processing","B","ERA",NA
"104","ACM Transactions on Autonomous and Adaptive Systems","B","ERA",1.775
"105","ACM Transactions on Computational Logic","A","ERA",0.688
"106","ACM Transactions on Computer - Human Interaction","A+","ERA",NA
"107","ACM Transactions on Computer Systems","A+","ERA",1.6
"108","ACM Transactions on Database Systems","A+","ERA",2.927
"109","ACM Transactions on Design Automation of Electronic Systems","A","ERA",0.852
"110","ACM Transactions on Embedded Computing Systems","A","ERA",1.53
"111","ACM Transactions on Graphics","A+","ERA",5.084
"112","ACM Transactions on Information and System Security","A","ERA",NA
"113","ACM Transactions on Information Systems","A","ERA",2.889
"114","ACM Transactions on Internet Technology","A","ERA",1.598
"115","ACM Transactions on Knowledge Discovery from Data","B","ERA",2.01
"116","ACM Transactions on Mathematical Software","A+","ERA",2.043
"117","ACM Transactions on Modeling and Computer Simulation","B","ERA",1.38
"118","ACM Transactions on Multimedia Computing Communications and Applications","B","ERA",3.275
"119","ACM Transactions on Programming Languages and Systems","A+","ERA",0.765
"120","ACM Transactions on Sensor Networks","C","ERA",2.469
"121","ACM Transactions on Software Engineering and Methodology","A+","ERA",2.057
"122","ACM Transactions on Speech and Language Processing","B","ERA",NA
"123","ACM Transactions on Storage","B","ERA",1.176
"124","ACM Transactions on the Web","B","ERA",1.157
"125","ACME","C","ERA",NA
"126","Acme: annali della Facolta di Lettere e Filosofia dell'Universita degli Studi di Milano","C","ERA",NA
"127","ACMR Reports","C","ERA",NA
"128","ACOG Clinical Review","C","ERA",NA
"129","Acoma","B","ERA",NA
"130","ACORN: the journal of perioperative nursing in Australia","C","ERA",NA
"131","Acoustical Physics","C","ERA",0.782
"132","Acoustical Science and Technology","C","ERA",NA
"133","Acoustics Australia","C","ERA",1.1
"134","Acoustics Bulletin","C","ERA",NA
"135","ACP Journal Club","C","ERA",NA
"136","ACQuiring Knowledge in Speech, Language and Hearing","B","ERA",NA
"137","Across Languages and Cultures: a multidisciplinary journal for translation and interpreting studies","C","ERA",NA
"138","Across the Disciplines","C","ERA",NA
"139","ACS Chemical Biology","B","ERA",4.434
"140","ACS M's Health and Fitness Journal","C","ERA",NA
"141","ACS Nano","A","ERA",14.588
"142","Acta ad Archaeologiam et Artium Historiam Pertinentia","B","ERA",NA
"143","Acta Adriatica","C","ERA",0.746
"144","Acta Agriculturae Scandinavica. Section A. Animal Science","C","ERA",NA
"145","Acta Agriculturae Scandinavica. Section B. Soil and Plant Science","C","ERA",NA
"146","Acta Agriculturae Slovenica","C","ERA",NA
"147","Acta Agronomica Hungarica: an international multidisciplinary journal in agricultural science","C","ERA",NA
"148","Acta Agronomica Sinica","C","ERA",NA
"149","Acta Alimentaria: an international journal of food science","B","ERA",NA
"150","Acta Amazonica","C","ERA",0.768
"151","Acta Anaesthesiologica Belgica","C","ERA",NA
"152","Acta Anaesthesiologica Italica and Anaesthesia and Intensive Care in Italy: rivista di anestesia e
cure pre e post-operatorie","C","ERA",NA
"153","Acta Anaesthesiologica Scandinavica: an international journal of anaesthesiology and intensive
care, pain and emergency medicine","B","ERA",NA
"154","Acta Anaesthesiologica Taiwanica","C","ERA",NA
"155","Acta Analytica","B","ERA",NA
"156","Acta Anatomica Sinica","C","ERA",NA
"157","Acta Angiologica","C","ERA",NA
"158","Acta Antiqua Academiae Scientiarum Hungaricae","B","ERA",NA
"159","Acta Applicandae Mathematicae","B","ERA",0.974
"160","Acta Arachnologica","C","ERA",NA
"161","Acta Archaelogica Carpathica","B","ERA",NA
"162","Acta Archaeologica","C","ERA",NA
"163","Acta Archaeologica Academiae Scientiarum Hungaricae","B","ERA",NA
"164","Acta Archaeologica Lovaniensia - Monographiae","C","ERA",NA
"165","Acta Arithmetica","B","ERA",0.421
"166","Acta Asiatica","B","ERA",NA
"167","Acta Astronautica","C","ERA",2.83
"168","Acta Astronomica: an international quarterly journal","B","ERA",NA
"169","Acta Automatica Sinica","C","ERA",NA
"170","Acta Biochimica et Biophysica Sinica","C","ERA",2.836
"171","Acta Biochimica Polonica","C","ERA",1.42
"172","Acta Bioethica","B","ERA",0.153
"173","Acta Bioethica","B","ERA",0.153
"174","Acta Biologica Colombiana","C","ERA",0.471
"175","Acta Biologica Cracoviensia Series Zoologia","C","ERA",NA
"176","Acta Biologica Cracoviensia. Botanica","C","ERA",NA
"177","Acta Biologica Hungarica","C","ERA",0.585
"178","Acta Biologica Szegediensis","C","ERA",NA
"179","Acta Biomaterialia","A","ERA",7.242
"180","Acta Biomedica de l'Ateneo Parmense","C","ERA",NA
"181","Acta Bioquimica Clinica Latinoamericana","C","ERA",0.165
"182","Acta Biotheoretica","C","ERA",0.719
"183","Acta Borealia: a Nordic journal of circumpolar societies","C","ERA",NA
"184","Acta Botanica Barcinonensia","C","ERA",NA
"185","Acta Botanica Brasilica","C","ERA",1.048
"186","Acta Botanica Croatica","C","ERA",1.051
"187","Acta Botanica Fennica","C","ERA",NA
"188","Acta Botanica Gallica","C","ERA",NA
"189","Acta Botanica Hungarica","C","ERA",NA
"190","Acta Botanica Indica","C","ERA",NA
"191","Acta Botanica Malacitana","C","ERA",NA
"192","Acta Botanica Venezuelica","C","ERA",NA
"193","Acta Cardiologica: an international journal of cardiology","C","ERA",NA
"194","Acta Chimica Slovenica","C","ERA",1.263
"195","Acta Chiropterologica: international journal of bat biology","C","ERA",NA
"196","Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca","C","ERA",0.256
"197","Acta Chirurgiae Plasticae","C","ERA",NA
"198","Acta Chirurgica Belgica","C","ERA",0.803
"199","Acta chirurgica Iugoslavica","C","ERA",NA
"200","Acta Chromatographicae","C","ERA",NA
"201","Acta Ciencia Indica. Mathematics","C","ERA",NA
"202","Acta Cientifica Venezolana","C","ERA",NA
"203","Acta Cirurgica Brasileira","C","ERA",0.974
"204","Acta Classica","C","ERA",NA
"205","Acta Clinica Belgica","C","ERA",1.111
"206","Acta Clinica Croatica","C","ERA",0.532
"207","Acta Colombiana de Psicologia","C","ERA",NA
"208","Acta Comeniana","A","ERA",NA
"209","Acta Criminologica","B","ERA",NA
"210","Acta Crystallographica Section A: Foundations of Crystallography","A","ERA",NA
"211","Acta Crystallographica Section B: Structural Science","A","ERA",NA
"212","Acta Crystallographica Section C: Crystal Structure Communications","C","ERA",NA
"213","Acta Crystallographica Section D: Biological Crystallography","B","ERA",NA
"214","Acta Crystallographica Section E: Structure Reports Online","C","ERA",NA
"215","Acta CrystallographicaSection F: Structural Biology and Crystallization Communications Online","C","ERA",NA
"216","Acta Cybernetica","C","ERA",NA
"217","Acta Cytologica: the journal of clinical cytology and cytopathology","C","ERA",NA
"218","Acta Dermato-Venereologica","B","ERA",4.016
"219","Acta Dermatovenerologica Alpina, Panonica et Adriatica","C","ERA",NA
"220","Acta Dermatovenerologica Croatica","C","ERA",1.048
"221","Acta Diabetologica: an international journal devoted to the study of clinical and experimental
diabetes and metabolism","C","ERA",NA
"222","Acta Ecclesiastica Sloveniae","C","ERA",NA
"223","Acta Ecologica Sinica","C","ERA",NA
"224","Acta Electrotehnica","C","ERA",NA
"225","Acta Endoscopica","C","ERA",NA
"226","Acta et Commentationes Universitatis Tartuensis de Mathematica","C","ERA",NA
"227","Acta Ethnographica Hungarica: an international journal of ethnography","C","ERA",NA
"228","Acta Ethologica","C","ERA",1
"229","Acta Facultatis Medicae Naissensis","C","ERA",NA
"230","Acta Facultatis Xylologiae","C","ERA",NA
"231","Acta Gastro-Enterologica Belgica","C","ERA",0.658
"232","Acta Gastroenterologica Latinoamericana","C","ERA",NA
"233","Acta Geodaetica et Cartographica Sinica","C","ERA",NA
"234","Acta Geodaetica et Geophysica Hungarica","C","ERA",NA
"235","Acta Geographica Slovenica","C","ERA",NA
"236","Acta Geologica Polonica","C","ERA",0.797
"237","Acta Geologica Sinica","B","ERA",NA
"238","Acta Geophysica","C","ERA",1.395
"239","Acta Geotechnica","B","ERA",4.35
"240","Acta Ginecologica","C","ERA",NA
"241","Acta Haematologica","B","ERA",1.196
"242","Acta Haematologica Polonica","C","ERA",NA
"243","Acta Hepatologica Japonica","C","ERA",NA
"244","Acta Histochemica","C","ERA",2.107
"245","Acta Histochemica et Cytochemica (Print)","C","ERA",NA
"246","Acta Historiae Artis Slovenica","C","ERA",NA
"247","Acta Historiae Rerum Naturalium nec non Technicarum","C","ERA",NA
"248","Acta Historica Tallinnensia","B","ERA",NA
"249","Acta Histriae","B","ERA",0.627
"250","Acta Horti Botanici Bucurestiensis","C","ERA",NA
"251","Acta Horticulturae","B","ERA",NA
"252","Acta Horticulturae et Regiotecturae: the scientific journal for horticulture, landscape engineering,
architecture and ecology","B","ERA",NA
"253","Acta Hospitalia","C","ERA",NA
"254","Acta Ichthyologica et Piscatoria","C","ERA",0.629
"255","Acta Informatica","A","ERA",0.9
"256","Acta Juridica","C","ERA",NA
"257","Acta Kinesiologiae Universitatis Tartuensis","C","ERA",NA
"258","Acta Koreana","B","ERA",NA
"259","Acta Linguistica Hafniensia: international journal of linguistics","A","ERA",NA
"260","Acta Linguistica Hungarica: an international journal of linguistics","B","ERA",NA
"261","Acta Literaria","C","ERA",NA
"262","Acta Materialia","A+","ERA",7.656
"263","Acta Mathematica","A+","ERA",2.458
"264","Acta Mathematica Hungarica","B","ERA",0.588
"265","Acta Mathematica Scientia","B","ERA",0.919
"266","Acta Mathematica Sinica","B","ERA",NA
"267","Acta Mathematica Universitatis Ostraviensis","C","ERA",NA
"268","Acta Mathematica Vietnamica","C","ERA",NA
"269","Acta Mathematicae Applicatae Sinica English Series","C","ERA",NA
"270","Acta Mechanica","B","ERA",2.102
"271","Acta Mechanica Sinica","B","ERA",1.897
"272","Acta Mechanica Solida Sinica","C","ERA",2.008
"273","Acta medica (Hradec Kralove) / Universitas Carolina, Facultas Medica Hradec Kralove","C","ERA",NA
"274","Acta Medica Bulgarica: Medicine and Physical Culture","C","ERA",NA
"275","Acta Medica Croatica","C","ERA",NA
"276","Acta Medica et Biologica","C","ERA",NA
"277","Acta medica Indonesiana","C","ERA",NA
"278","Acta Medica Iranica","C","ERA",NA
"279","Acta Medica Mediterranea","C","ERA",0.249
"280","Acta Medica Nagasakiensia","C","ERA",NA
"281","Acta Medica Okayama","C","ERA",0.642
"282","Acta Medica Portuguesa","C","ERA",0.628
"283","Acta Metallurgica Sinica (English Letters)","C","ERA",NA
"284","Acta Meteorologica Sinica","C","ERA",NA
"285","Acta Microbiologica et Immunologica Hungarica","C","ERA",1.086
"286","Acta Microbiologica Hellenica","C","ERA",NA
"287","Acta Montanistica Slovaca","C","ERA",1.181
"288","Acta Mozartiana","B","ERA",NA
"289","Acta Musei Moraviae. Supplementum: Folia Ethnographica","C","ERA",NA
"290","Acta Musicologica","A","ERA",NA
"291","Acta Myologica","C","ERA",NA
"292","Acta Naturalia de l'Ateneo Parmense","C","ERA",NA
"293","Acta Neophilologica","C","ERA",NA
"294","Acta Neurobiologiae Experimentalis","C","ERA",1.541
"295","Acta Neurochirurgica. Supplementum","C","ERA",NA
"296","Acta Neurochirurgica: the European journal of neurosurgery","C","ERA",NA
"297","Acta Neurologica Belgica","C","ERA",1.989
"298","Acta Neurologica Scandinavica","B","ERA",2.684
"299","Acta Neurologica Taiwanica","C","ERA",NA
"300","Acta Neuropathologica","B","ERA",14.251
"301","Acta Neuropsychiatrica","C","ERA",3
"302","Acta Neuropsychologica","C","ERA",NA
"303","Acta Numerica","A+","ERA",8.455
"304","Acta Obstetricia et Gynecologica Scandinavica","A","ERA",2.77
"305","Acta Oceanologica Sinica","C","ERA",1.146
"306","Acta odontologica latinoamericana : AOL","C","ERA",NA
"307","Acta Odontologica Scandinavica","A","ERA",1.573
"308","Acta Oecologica","B","ERA",NA
"309","Acta Oeconomica","C","ERA",0.914
"310","Acta of Bioengineering and Biomechanics","B","ERA",0.968
"311","Acta Oncologica","B","ERA",3.701
"312","Acta Onomastica","C","ERA",NA
"313","Acta Ophthalmologica Scandinavica","C","ERA",NA
"314","Acta Organologica","B","ERA",NA
"315","Acta Orientalia","B","ERA",NA
"316","Acta Orientalia Academiae Scientiarum Hungaricae","B","ERA",NA
"317","Acta Ornithologica","C","ERA",1.051
"318","Acta Orthopaedica","A","ERA",2.965
"319","Acta orthopaedica et traumatologica turcica","C","ERA",1.121
"320","Acta Ortopedica Brasileira","C","ERA",0.57
"321","Acta Oto-Laryngologica","C","ERA",1.157
"322","Acta Otorhinolaryngologica Italica","C","ERA",1.51
"323","Acta Otorrinolaringologica Espanola","C","ERA",NA
"324","Acta Paediatrica","B","ERA",2.111
"325","Acta Palaeobotanica","C","ERA",NA
"326","Acta Palaeontologica Polonica","B","ERA",1.682
"327","Acta Palaeontologica Sinica","C","ERA",NA
"328","Acta Parasitologica","C","ERA",1.019
"329","Acta Pathologica et Microbiologica Scandinavica","C","ERA",NA
"330","Acta Patristica et Byzantina","C","ERA",NA
"331","ACTA Paulista de Enfermagem","C","ERA",0.512
"332","ACTA Paulista de Enfermagem","C","ERA",0.512
"333","Acta Pediatrica Espanola","C","ERA",NA
"334","Acta Periodica Technologica","C","ERA",NA
"335","Acta Pharmaceutica","C","ERA",1.375
"336","Acta Pharmaceutica Hungarica","C","ERA",NA
"337","Acta Pharmaceutica Sciencia","C","ERA",NA
"338","Acta Pharmacologica Sinica","B","ERA",5.064
"339","Acta Philosophica Fennica","B","ERA",NA
"340","Acta Philosophica: rivista internazionale di filosofia","C","ERA",NA
"341","Acta Physica Hungarica. A. Heavy Ion Physics","C","ERA",NA
"342","Acta Physica Polonica. Series A: General Physics, Physics of Condensed Matter, Optics and Quantum
Electrodynamics","C","ERA",NA
"343","Acta Physica Polonica. Series B: Elementary Particle Physics, Nuclear Physics, Statistical Physics,
Theory of Relativity, Field Theory","C","ERA",NA
"344","Acta Physica Sinica","C","ERA",0.732
"345","Acta Physica Slovaca: journal for experimental and theoretical physics","C","ERA",NA
"346","Acta Physico - Chimica Sinica","C","ERA",NA
"347","Acta Physiologiae Plantarum","C","ERA",1.76
"348","Acta Physiologica","A","ERA",5.542
"349","Acta Physiologica Hungarica","C","ERA",NA
"350","Acta Physiologica Pharmacologica et Therapeutica Latinoamericana","C","ERA",NA
"351","Acta Physiologica Sinica","C","ERA",NA
"352","Acta Phytopathologica et Entomologica Hungarica","C","ERA",NA
"353","Acta Phytotaxonomica Sinica","C","ERA",NA
"354","Acta Politica: international journal of political science","B","ERA",NA
"355","Acta Poloniae Historica","B","ERA",NA
"356","Acta Poloniae Pharmaceutica: drug research","C","ERA",NA
"357","Acta Polono-Ruthenica","C","ERA",NA
"358","Acta Polytechnica Scandinavica.  Civil Engineering and Building Construction Series","C","ERA",NA
"359","Acta Polytechnica: journal of advanced engineering","C","ERA",NA
"360","Acta Praehistorica et Archaeologica","B","ERA",NA
"361","Acta Protozoologica","C","ERA",0.556
"362","Acta Psiquiatrica y Psicologica de America Latina","C","ERA",NA
"363","Acta Psychiatrica Scandinavica","A","ERA",5.362
"364","Acta Psychiatrica Scandinavica","A","ERA",5.362
"365","Acta Psychologica","A","ERA",1.38
"366","Acta Radiologica","C","ERA",1.635
"367","Acta Reumatologica Portuguesa","C","ERA",1.183
"368","Acta Scientiae Veterinariae","C","ERA",0.321
"369","Acta Scientiarum - Biological Sciences","C","ERA",NA
"370","Acta Scientiarum - Health Sciences","C","ERA",NA
"371","Acta Scientiarum Naturalium Universitatis Normalis Hunanensis","C","ERA",NA
"372","Acta Scientiarum Polonorum. Administratio Locorum","C","ERA",NA
"373","Acta Scientiarum Polonorum. Architectura","C","ERA",NA
"374","Acta Scientiarum Polonorum. Biotechnologia","C","ERA",NA
"375","Acta Scientiarum Polonorum. Hortorum Cultus","C","ERA",NA
"376","Acta Scientiarum Polonorum. Medicina Veterinaria","C","ERA",NA
"377","Acta Scientiarum Polonorum. Piscaria","C","ERA",NA
"378","Acta Scientiarum Polonorum. Silvarum Colendarum Ratio et Industria Lignaria","C","ERA",NA
"379","Acta Scientiarum Polonorum. Technologia Alimentaria","C","ERA",NA
"380","Acta Seismologica Sinica","C","ERA",NA
"381","Acta Seismologica Sinica English Edition","C","ERA",NA
"382","Acta Slavica Iaponica","C","ERA",NA
"383","Acta Societatis Botanicorum Poloniae","C","ERA",1
"384","Acta Societatis Zoologicae Bohemicae","C","ERA",NA
"385","Acta Sociologica","A","ERA",1.273
"386","Acta Stomatologica Croatica","C","ERA",NA
"387","Acta Stomatologica Naissi","C","ERA",NA
"388","Acta Structilia","C","ERA",NA
"389","Acta Technica CSAV","C","ERA",NA
"390","Acta Theologica","B","ERA",NA
"391","Acta Theriologica","C","ERA",NA
"392","Acta Toxicologica","C","ERA",NA
"393","Acta Tropica","B","ERA",2.555
"394","Acta Turistica","C","ERA",NA
"395","Acta Universitatis Agriculturae et Silviculturae Mendelianae Brunensis","C","ERA",NA
"396","Acta Universitatis Bohemiae Meridionales: vedecky casopis pro ekonomiku, rizeni a obchod","C","ERA",NA
"397","Acta Universitatis Carolinae - Environmentalica","C","ERA",NA
"398","Acta Universitatis Carolinae Philosophica et Historica","C","ERA",NA
"399","Acta Universitatis Carolinae. Medica. Monographia","C","ERA",NA
"400","Acta Universitatis Cibiniensis","B","ERA",NA
"401","Acta Universitatis Szegediensis. Acta Scientiarum Mathematicarum","B","ERA",NA
"402","Acta Urologica Japonica","C","ERA",NA
"403","Acta Veterinaria","C","ERA",NA
"404","Acta Veterinaria Brno","C","ERA",0.566
"405","Acta Veterinaria Hungarica","B","ERA",0.991
"406","Acta Veterinaria Scandinavica","B","ERA",1.683
"407","Acta Victoriana","C","ERA",NA
"408","Acta Virologica: international journal","C","ERA",NA
"409","Acta Zoologica","C","ERA",1.375
"410","Acta Zoologica Cracoviensia","C","ERA",NA
"411","Acta Zoologica Fennica","C","ERA",NA
"412","Acta Zoologica Taiwanica","C","ERA",NA
"413","Actas Dermo-Sifiliograficas","C","ERA",NA
"414","Actas Espanolas de Psiquiatria","C","ERA",1.681
"415","Actas Espanolas de Psiquiatria. Monografias","C","ERA",NA
"416","Actas Urologicas Espanolas","C","ERA",0.873
"417","Actes de la Recherche en Sciences Sociales","B","ERA",0.3
"418","Actes de Lecture","C","ERA",NA
"419","Actes de l'Histoire de l'Immigration (Print Edition)","C","ERA",NA
"420","Action Criticism and Theory for Music Education","C","ERA",NA
"421","Action in Teacher Education","B","ERA",NA
"422","Action Learning and Action Research Journal","C","ERA",NA
"423","Action Learning: research and practice","C","ERA",NA
"424","Action Research","C","ERA",0.729
"425","Action Research International","B","ERA",NA
"426","Active and Passive Electronic Components","C","ERA",NA
"427","Active Learning in Higher Education","B","ERA",3.118
"428","Actividad Dietetica","C","ERA",NA
"429","Activities, Adaptation and Aging: the journal of activities management","C","ERA",NA
"430","Actual Virtual","C","ERA",NA
"431","Actualite Chimique","C","ERA",NA
"432","Actualites Pharmaceutiques","C","ERA",NA
"433","Actualites Pharmaceutiques Hospitalieres","C","ERA",NA
"434","Actualizaciones en Anestesiologia y Reanimacion","C","ERA",NA
"435","Actuarial Research Clearinghouse","C","ERA",NA
"436","Actuel Marx","B","ERA",NA
"437","Acupuncture and Electro-Therapeutics Research: the international journal","C","ERA",NA
"438","Acupuncture in medicine","C","ERA",2.129
"439","Acustica United with Acta Acustica","C","ERA",NA
"440","Acute Cardiac Care","C","ERA",NA
"441","Acute Medicine","C","ERA",NA
"442","Acute Pain","C","ERA",NA
"443","Ad Hoc Networks","C","ERA",3.643
"444","Ad Parnassum: a journal of eighteenth- and nineteenth-century instrumental music","B","ERA",NA
"445","Ada User Journal","C","ERA",NA
"446","ADALYA","C","ERA",NA
